comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
MINISTERIO DE DESARROLLO E INCLUSION SOCIAL - ORGANISMO DE FOCALIZACION E INFORMACION SOCIAL,LIMA,1,1,100.0,1980000.0,False
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DEL CUSCO,CUSCO,1,1,100.0,46800.0,False
MUNICIPALIDAD DISTRITAL DE AGUA BLANCA,SAN MARTIN,1,1,100.0,100000.0,False
MUNICIPALIDAD DISTRITAL DE CANAYRE,AYACUCHO,1,1,100.0,99985.0,False
MUNICIPALIDAD DISTRITAL DE COLQUIOC,ANCASH,1,1,100.0,95647.0,False
MUNICIPALIDAD DISTRITAL DE HUAMANQUIQUIA,AYACUCHO,1,1,100.0,100000.0,False
MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - VILCASHUAMAN,AYACUCHO,1,1,100.0,100000.0,False
MUNICIPALIDAD DISTRITAL DE JILILI,PIURA,1,1,100.0,65000.0,False
MUNICIPALIDAD DISTRITAL DE LA BANDA DE SHILCAYO,SAN MARTIN,1,1,100.0,70000.0,False
MUNICIPALIDAD DISTRITAL DE LURICOCHA,AYACUCHO,1,1,100.0,105000.0,False
MUNICIPALIDAD DISTRITAL DE MADRIGAL,AREQUIPA,1,1,100.0,1200000.0,False
MUNICIPALIDAD DISTRITAL DE MOLINOS - PACHITEA,HUANUCO,1,1,100.0,420000.0,False
MUNICIPALIDAD DISTRITAL DE MOLLEBAYA,AREQUIPA,1,1,100.0,71422.0,False
MUNICIPALIDAD DISTRITAL DE MONZON,HUANUCO,1,1,100.0,85327.0,False
MUNICIPALIDAD DISTRITAL DE MORONA,LORETO,1,1,100.0,251103.0,False
MUNICIPALIDAD DISTRITAL DE QUERECOTILLO,PIURA,1,1,100.0,100000.0,False
MUNICIPALIDAD DISTRITAL DE RECTA,AMAZONAS,1,1,100.0,85010.0,False
